,Unnamed: 0,Item1,Item2,book,chapter,sentences_index,contain_ren,Start,End
118,8318,仁,必,analects,里仁,108,True,-480,-350
119,8319,仁,于,analects,里仁,108,True,-480,-350
120,8320,仁,是,analects,里仁,108,True,-480,-350
121,8369,我,仁,analects,里仁,109,True,-480,-350
122,8373,我,仁,analects,里仁,109,True,-480,-350
123,8377,未,仁,analects,里仁,109,True,-480,-350
124,8381,未,仁,analects,里仁,109,True,-480,-350
125,8384,见,仁,analects,里仁,109,True,-480,-350
126,8388,见,仁,analects,里仁,109,True,-480,-350
127,8390,好,仁,analects,里仁,109,True,-480,-350
128,8394,好,仁,analects,里仁,109,True,-480,-350
129,8396,仁,者,analects,里仁,109,True,-480,-350
130,8397,仁,恶,analects,里仁,109,True,-480,-350
131,8398,仁,不,analects,里仁,109,True,-480,-350
132,8399,仁,仁,analects,里仁,109,True,-480,-350
133,8400,仁,者,analects,里仁,109,True,-480,-350
134,8403,者,仁,analects,里仁,109,True,-480,-350
135,8406,恶,仁,analects,里仁,109,True,-480,-350
136,8408,不,仁,analects,里仁,109,True,-480,-350
137,8410,仁,者,analects,里仁,109,True,-480,-350
138,8411,好,仁,analects,里仁,110,True,-480,-350
139,8420,好,仁,analects,里仁,110,True,-480,-350
140,8424,好,仁,analects,里仁,110,True,-480,-350
141,8429,好,仁,analects,里仁,110,True,-480,-350
142,8435,仁,者,analects,里仁,110,True,-480,-350
143,8436,仁,无,analects,里仁,110,True,-480,-350
144,8437,仁,以,analects,里仁,110,True,-480,-350
145,8438,仁,尚,analects,里仁,110,True,-480,-350
146,8439,仁,之,analects,里仁,110,True,-480,-350
147,8440,仁,；,analects,里仁,110,True,-480,-350
148,8441,仁,恶,analects,里仁,110,True,-480,-350
149,8442,仁,不,analects,里仁,110,True,-480,-350
150,8443,仁,仁,analects,里仁,110,True,-480,-350
151,8444,仁,者,analects,里仁,110,True,-480,-350
152,8445,仁,其,analects,里仁,110,True,-480,-350
153,8446,仁,为,analects,里仁,110,True,-480,-350
154,8447,仁,仁,analects,里仁,110,True,-480,-350
155,8448,仁,矣,analects,里仁,110,True,-480,-350
156,8449,仁,不,analects,里仁,110,True,-480,-350
157,8450,仁,使,analects,里仁,110,True,-480,-350
158,8451,仁,不,analects,里仁,110,True,-480,-350
159,8452,仁,仁,analects,里仁,110,True,-480,-350
160,8453,仁,者,analects,里仁,110,True,-480,-350
161,8454,仁,加,analects,里仁,110,True,-480,-350
162,8455,仁,乎,analects,里仁,110,True,-480,-350
163,8456,仁,其,analects,里仁,110,True,-480,-350
164,8457,仁,身,analects,里仁,110,True,-480,-350
165,8465,者,仁,analects,里仁,110,True,-480,-350
166,8469,者,仁,analects,里仁,110,True,-480,-350
167,8474,者,仁,analects,里仁,110,True,-480,-350
168,8486,无,仁,analects,里仁,110,True,-480,-350
169,8490,无,仁,analects,里仁,110,True,-480,-350
170,8495,无,仁,analects,里仁,110,True,-480,-350
171,8506,以,仁,analects,里仁,110,True,-480,-350
172,8510,以,仁,analects,里仁,110,True,-480,-350
173,8515,以,仁,analects,里仁,110,True,-480,-350
174,8525,尚,仁,analects,里仁,110,True,-480,-350
175,8529,尚,仁,analects,里仁,110,True,-480,-350
176,8534,尚,仁,analects,里仁,110,True,-480,-350
177,8543,之,仁,analects,里仁,110,True,-480,-350
178,8547,之,仁,analects,里仁,110,True,-480,-350
179,8552,之,仁,analects,里仁,110,True,-480,-350
180,8560,；,仁,analects,里仁,110,True,-480,-350
181,8564,；,仁,analects,里仁,110,True,-480,-350
182,8569,；,仁,analects,里仁,110,True,-480,-350
183,8576,恶,仁,analects,里仁,110,True,-480,-350
184,8580,恶,仁,analects,里仁,110,True,-480,-350
185,8585,恶,仁,analects,里仁,110,True,-480,-350
186,8591,不,仁,analects,里仁,110,True,-480,-350
187,8595,不,仁,analects,里仁,110,True,-480,-350
188,8600,不,仁,analects,里仁,110,True,-480,-350
189,8606,仁,者,analects,里仁,110,True,-480,-350
190,8607,仁,其,analects,里仁,110,True,-480,-350
191,8608,仁,为,analects,里仁,110,True,-480,-350
192,8609,仁,仁,analects,里仁,110,True,-480,-350
193,8610,仁,矣,analects,里仁,110,True,-480,-350
194,8611,仁,不,analects,里仁,110,True,-480,-350
195,8612,仁,使,analects,里仁,110,True,-480,-350
196,8613,仁,不,analects,里仁,110,True,-480,-350
197,8614,仁,仁,analects,里仁,110,True,-480,-350
198,8615,仁,者,analects,里仁,110,True,-480,-350
199,8616,仁,加,analects,里仁,110,True,-480,-350
200,8617,仁,乎,analects,里仁,110,True,-480,-350
201,8618,仁,其,analects,里仁,110,True,-480,-350
202,8619,仁,身,analects,里仁,110,True,-480,-350
203,8622,者,仁,analects,里仁,110,True,-480,-350
204,8627,者,仁,analects,里仁,110,True,-480,-350
